,count,tract,date
800,73,48201211600,2021-01-17
801,124,48201211700,2021-01-17
802,171,48201211900,2021-01-17
803,111,48201212300,2021-01-17
804,122,48201212400,2021-01-17
805,159,48201212500,2021-01-17
806,65,48201220100,2021-01-17
807,106,48201220200,2021-01-17
808,118,48201220300,2021-01-17
809,214,48201220400,2021-01-17
810,352,48201220500,2021-01-17
811,82,48201220600,2021-01-17
812,256,48201220700,2021-01-17
813,112,48201220800,2021-01-17
814,72,48201220900,2021-01-17
815,449,48201221000,2021-01-17
816,172,48201221100,2021-01-17
817,281,48201221200,2021-01-17
818,341,48201221300,2021-01-17
819,187,48201221400,2021-01-17
820,830,48201221500,2021-01-17
821,296,48201221600,2021-01-17
822,300,48201221700,2021-01-17
823,129,48201221800,2021-01-17
824,232,48201221900,2021-01-17
825,69,48201222000,2021-01-17
826,238,48201222100,2021-01-17
827,168,48201222200,2021-01-17
828,199,48201222300,2021-01-17
829,150,48201222401,2021-01-17
830,239,48201222402,2021-01-17
831,115,48201222501,2021-01-17
832,137,48201222502,2021-01-17
833,190,48201222503,2021-01-17
834,123,48201222600,2021-01-17
835,249,48201222700,2021-01-17
836,129,48201222800,2021-01-17
837,312,48201222900,2021-01-17
838,134,48201223001,2021-01-17
839,473,48201223002,2021-01-17
840,140,48201223100,2021-01-17
841,70,48201230100,2021-01-17
842,227,48201230200,2021-01-17
843,88,48201230300,2021-01-17
844,120,48201230400,2021-01-17
845,255,48201230500,2021-01-17
846,90,48201230600,2021-01-17
847,111,48201230700,2021-01-17
848,133,48201230800,2021-01-17
849,321,48201230900,2021-01-17
850,151,48201231000,2021-01-17
851,278,48201231100,2021-01-17
852,283,48201231200,2021-01-17
853,182,48201231300,2021-01-17
854,127,48201231400,2021-01-17
855,118,48201231500,2021-01-17
856,202,48201231600,2021-01-17
857,131,48201231700,2021-01-17
858,129,48201231800,2021-01-17
859,172,48201231900,2021-01-17
860,162,48201232000,2021-01-17
861,138,48201232100,2021-01-17
862,609,48201232200,2021-01-17
863,710,48201232301,2021-01-17
864,797,48201232302,2021-01-17
865,460,48201232401,2021-01-17
866,175,48201232402,2021-01-17
867,212,48201232403,2021-01-17
